BoroughName,trend_slope,recent_trend,avg_crime_rate,volatility,range_crime_rate,seasonal_strength,peak_month,monthly_variation,covid_impact,recovery_rate,Arson And Criminal Damage,Burglary,Drug Offences,Fraud And Forgery,Miscellaneous Crimes Against Society,Nfib Fraud,Possession Of Weapons,Public Order Offences,Robbery,Sexual Offences,Theft,Vehicle Offences,Violence Against The Person,crime_diversity,cluster
Hackney,-0.0026408051709638,-0.0023353377945081,9.657725764949692,0.9653639211024752,6.214699656210218,0.3713347973682926,7,0.0559740145200771,-0.0740846956565306,0.0237456511882057,5.72596069522513,15.384904494241258,5.202704395686999,0.3858649806649907,0.8794714819052709,0.0,0.7830052367390233,5.002046253685345,4.246185198486607,2.0055374130342183,29.776540745504505,9.154062022366809,21.45371708245985,2.85478552195856,0
Hammersmith And Fulham,-0.0140404304880995,-0.0033116084524268,9.671681027897096,1.1928879370088117,5.515049886268381,0.3369955545999953,10,0.0465528169115819,-0.1900526038753163,0.0350348548946112,6.156801448659165,12.381508795649127,6.043319069016252,0.5518118945439752,1.2489179409218685,0.000611764849827,0.6402119153439801,5.742330762901355,2.6691300397953035,1.8037886597149788,29.18026568947428,12.693814751485824,20.887487267644065,2.88169366988632,0
Haringey,-0.001232085188418,-0.0189571753545831,8.7700375447505,0.9068766819803818,4.371755750038247,0.3734246197460822,7,0.0427916725367237,-0.0514459631053601,-0.0162618576731844,6.762701356037672,16.64399412254983,5.0784984795390695,0.4099226256850023,0.9420271752583874,0.0,0.7387691420239958,4.590679199776529,4.749651963200076,1.950141599311421,22.35157053735065,13.855838956048572,21.926204843218787,2.941835923562901,1
Harrow,-0.0021627061420614,0.001825992638449,5.2352369305818645,0.5634722401801321,2.545720921392311,0.3195360149261672,11,0.0423383112277467,-0.0716060710520889,0.0136956837529655,6.982414319469712,21.268845534575416,4.617861698345984,0.7615582460322439,1.1893858603600778,0.0,0.5085419149781486,4.383246555004914,2.784016059218368,1.8363548919975743,18.5412876649311,13.190724128557388,23.935763126529075,2.893873834634562,1
Havering,-0.0034958852769987,0.0049378992278513,6.270479874522342,0.6212448555279703,3.942159030216764,0.1891995244433807,10,0.0334075456676553,-0.1651248029678125,0.1340818098746308,7.957524817543496,18.3148282660579,4.642177717823666,0.3600705613780222,1.2261768876898067,0.0,0.6672200892393899,4.79402303621459,2.273183217460482,2.104735221887863,20.33585832382138,13.302203313617657,24.021998547265746,2.9001380797857705,1
Hillingdon,-0.0050350532495674,0.0135443614225013,7.410996061489568,0.8559117930237187,4.069155779531715,0.3488108997665571,10,0.0411771501329862,-0.1208220372685162,0.0285401731531447,8.232608078589147,14.093472707302324,4.292537239753669,0.5326488047489171,3.547125103358057,0.000246825210727,0.6906169396142122,5.294400770094657,2.142442829110565,1.8348986165446937,22.126892840834763,13.34904787174962,23.863061373088648,2.962365472410833,1
Hounslow,-0.0035508807140334,0.0099521411029694,7.784618825001295,0.7722590850712349,3.723457740524776,0.3821877499043372,10,0.0431062350162312,-0.0908132019970859,0.0405619684433731,7.825614693393898,14.997167551049046,5.328122320217449,0.5085415226621902,1.480409327852068,0.0,0.6046888723734883,5.3507299402847,2.113682547437024,1.9367194524278504,21.592875741244093,12.82553673608332,25.435911294974872,2.9105459513386407,1
Islington,-0.0121062277063065,0.0351302997256454,10.624736035219648,1.2830789630956667,7.305955391267384,0.2480257224412481,10,0.0426712021790303,-0.2335782563511351,0.1598701765246589,5.823994412521032,14.486400928827672,4.820787961522588,0.4065888713020367,1.0102361526216252,0.0006802937054691,0.6406099059834098,5.42126053888332,3.974956121055997,1.682139569056614,33.5498179080515,8.72317942066188,19.45934791580685,2.806785089730872,0
Kensington And Chelsea,0.0012768928740293,0.0399804217478785,11.376773119404918,1.6135299908174918,11.608939970106285,0.481301998853994,8,0.0838299639905373,-0.2078652566859957,0.2522695299936659,4.743026176120599,14.244373678881376,5.6894900902719785,0.6469848669780759,0.8837537970211164,0.0,0.5744858535152844,4.347187680673965,2.7491503543886373,1.5448102024772026,36.5471503605067,11.943371234716322,16.086215704448747,2.7475452442123007,0
Kingston Upon Thames,-0.0040089061078787,-0.006538877306331,5.572244441592651,0.6514086956991997,3.569060188616555,0.2549016506981117,10,0.0407019420770219,-0.1334313952435183,0.0672518805346621,8.099018197877857,15.617108496495185,6.086720192057255,0.5424258552549628,1.0514455252697974,0.0,0.5673389425526855,4.9378871437145415,1.6335058375893192,2.1838585842571936,27.760539934546525,8.61200131359915,22.90814997678553,2.8467805520725467,1
