Date,CrimeCount,Population,CrimeRate_per_1000,CrimeRate_per_100k
2017-10-01,5020,250049.0,20.07606509124212,2007.606509124212
2017-11-01,5107,250049.0,20.423996896608266,2042.3996896608264
2017-12-01,5398,250049.0,21.587768797315725,2158.7768797315725
2018-01-01,5146,254375.0,20.22997542997543,2022.997542997543
2018-02-01,4661,254375.0,18.32334152334152,1832.3341523341523
2018-03-01,4915,254375.0,19.321867321867323,1932.186732186732
2018-04-01,4790,254375.0,18.83046683046683,1883.046683046683
2018-05-01,5263,254375.0,20.68992628992629,2068.992628992629
2018-06-01,5301,254375.0,20.83931203931204,2083.931203931204
2018-07-01,5894,254375.0,23.17051597051597,2317.051597051597
2018-08-01,5808,254375.0,22.832432432432437,2283.243243243244
2018-09-01,5304,254375.0,20.85110565110565,2085.110565110565
2018-10-01,5926,254375.0,23.296314496314498,2329.63144963145
2018-11-01,6354,254375.0,24.97886977886978,2497.886977886978
2018-12-01,7022,254375.0,27.604914004914004,2760.491400491401
2019-01-01,6557,258511.0,25.364491259559557,2536.4491259559554
2019-02-01,6768,258511.0,26.18070410930289,2618.070410930289
2019-03-01,7392,258511.0,28.594527892430108,2859.4527892430106
2019-04-01,7355,258511.0,28.45140052067417,2845.140052067417
2019-05-01,6985,258511.0,27.02012680311476,2702.0126803114763
2019-06-01,7002,258511.0,27.0858880279756,2708.58880279756
2019-07-01,7090,258511.0,27.42629907431405,2742.629907431405
2019-08-01,7154,258511.0,27.673870744378384,2767.3870744378382
2019-09-01,6495,258511.0,25.12465620418473,2512.465620418473
2019-10-01,7380,258511.0,28.548108204293047,2854.810820429305
2019-11-01,7063,258511.0,27.32185477600566,2732.185477600566
2019-12-01,7617,258511.0,29.464897045000026,2946.489704500002
2020-01-01,6649,259981.0,25.574945861428336,2557.4945861428337
2020-02-01,6861,259981.0,26.390390066966432,2639.039006696644
2020-03-01,4341,259981.0,16.69737403887207,1669.7374038872072
2020-04-01,1773,259981.0,6.819729134052103,681.9729134052104
2020-05-01,2321,259981.0,8.92757547666945,892.7575476669449
2020-06-01,3092,259981.0,11.89317680907451,1189.317680907451
2020-07-01,4259,259981.0,16.381966374465826,1638.1966374465826
2020-08-01,4620,259981.0,17.770529384839662,1777.052938483966
2020-09-01,4642,259981.0,17.855150953338896,1785.5150953338898
2020-10-01,4459,259981.0,17.151253360822523,1715.125336082252
2020-11-01,3088,259981.0,11.877791069347376,1187.7791069347377
2020-12-01,3608,259981.0,13.877937233874782,1387.7937233874784
2021-01-01,2100,262317.0,8.005581033634877,800.5581033634877
2021-02-01,2100,262317.0,8.005581033634877,800.5581033634877
2021-03-01,2640,262317.0,10.064159013712416,1006.4159013712416
2021-04-01,3219,262317.0,12.27141207012889,1227.141207012889
2021-05-01,4068,262317.0,15.507954116584132,1550.7954116584133
2021-06-01,4346,262317.0,16.567740558179608,1656.7740558179607
2021-07-01,5141,262317.0,19.598424806627097,1959.8424806627092
2021-08-01,4665,262317.0,17.783826439003192,1778.3826439003192
2021-09-01,4751,262317.0,18.111674043237763,1811.1674043237765
2021-10-01,6117,262317.0,23.31911389654502,2331.9113896545023
2021-11-01,5871,262317.0,22.381317261176363,2238.1317261176364
2021-12-01,6022,262317.0,22.95695665930916,2295.695665930916
2022-01-01,5315,264875.0,20.066068900424728,2006.6068900424727
2022-02-01,5278,264875.0,19.92638036809816,1992.638036809816
2022-03-01,5987,264875.0,22.60311467673431,2260.311467673431
2022-04-01,5658,264875.0,21.36101934874941,2136.101934874941
2022-05-01,6170,264875.0,23.294006606890044,2329.4006606890043
2022-06-01,6144,264875.0,23.19584709768759,2319.584709768759
2022-07-01,7056,264875.0,26.63898065125059,2663.898065125059
2022-08-01,6252,264875.0,23.603586597451628,2360.358659745162
2022-09-01,5561,264875.0,20.994808872109484,2099.480887210949
2022-10-01,7739,264875.0,29.217555450684287,2921.7555450684285
2022-11-01,8185,264875.0,30.901368570080223,3090.1368570080226
2022-12-01,8529,264875.0,32.20009438414346,3220.0094384143463
2023-01-01,7630,267274.0,28.5474831072233,2854.7483107223297
2023-02-01,7124,267274.0,26.654294843493943,2665.429484349394
2023-03-01,7151,267274.0,26.75531477060993,2675.531477060993
